trial_index,side,ns_per_op
1,base,48.6
1,head,43.6
2,base,56.8
2,head,55.4
3,base,41.7
3,head,41.1
4,base,45.9
4,head,43.9
5,base,41.3
5,head,64.0
6,base,52.3
6,head,54.9
7,base,55.4
7,head,54.6
8,base,54.7
8,head,39.4
9,base,45.6
9,head,42.6
10,base,40.6
10,head,45.3
11,base,39.6
11,head,42.7
12,base,44.2
12,head,42.3
13,base,41.8
13,head,46.4
14,base,63.8
14,head,46.5
15,base,65.3
15,head,53.4
